"DomainName","DNSAuthRecord","ValidationToken"
"domain1.jazuregrave.fr","_dnsauth.domain1","_ahbjqsj2qiqnmpexfekkcyciablhmi9"
"domain35.jazuregrave.fr","_dnsauth.domain35","_sgw5iur51nc63wv09w38olcnzfcwl48"
"domain44.jazuregrave.fr","_dnsauth.domain44","_5anznd9qss5v1v9nxyudxutqu1hko0k"
"domain2.jazuregrave.fr","_dnsauth.domain2","_nw6ayno0rch6y5wm870xv01srz3r53b"
"domain68.jazuregrave.fr","_dnsauth.domain68","_in0vbwyq28i5sqt7b7n0yss2a00688n"
"domain21.jazuregrave.fr","_dnsauth.domain21","_i36ulo2xh9q423f3tr39ymueyy0hh7x"
"domain99.jazuregrave.fr","_dnsauth.domain99","_r2errhtp3v72fmu5c6s3jc5j73kbj0e"
"domain3.jazuregrave.fr","_dnsauth.domain3","_uehzgwaxlc4sjy9750pw8puijqxjckl"
"domain100.jazuregrave.fr","_dnsauth.domain100","_7yoewqi0ry7kw1z08oon0utesjqf86w"
"domain53.jazuregrave.fr","_dnsauth.domain53","_ibg4la4yupq3cejutj2q2hsshllx1ng"
"domain37.jazuregrave.fr","_dnsauth.domain37","_jrezshkkfj5npau2siz0yt8nrzqz2u0"
"domain86.jazuregrave.fr","_dnsauth.domain86","_pjf6le0eaynep0gdgu8flonee9fsk6z"
"domain85.jazuregrave.fr","_dnsauth.domain85","_c5qyvbtktleix5zq7iasrbhm0e9n1hi"
"domain74.jazuregrave.fr","_dnsauth.domain74","_j7tegt03zrv8k4jxi243xp6f20woqum"
"domain12.jazuregrave.fr","_dnsauth.domain12","_wjpc792gztf9u3wfx1xzn7hso5buf5m"
"domain81.jazuregrave.fr","_dnsauth.domain81","_oqkgq2972nli62ru6dxmi3hp8eux25r"
"domain66.jazuregrave.fr","_dnsauth.domain66","_sc8y030njbbmzx9v21326jsjm930pxp"
"domain7.jazuregrave.fr","_dnsauth.domain7","_qp07zoqfqiif1e94ydqr4y0p8j0clih"
"domain46.jazuregrave.fr","_dnsauth.domain46","_15q7l123xlfvgwpuh9ouaralrgv3ztp"
"domain67.jazuregrave.fr","_dnsauth.domain67","_159h5gi5i6prgwzxiitexi9sg8igies"
"domain75.jazuregrave.fr","_dnsauth.domain75","_cnmqzitk3deur9k9xrsjpsudrhivsa1"
"domain91.jazuregrave.fr","_dnsauth.domain91","_5hl8hd5hr4x386nr6rbzif1yfjj2cd1"
"domain82.jazuregrave.fr","_dnsauth.domain82","_ifnljviacsft5y2u5kztzio9ze3kjad"
"domain29.jazuregrave.fr","_dnsauth.domain29","_hoqze8gxxjvnlfmnbbqffz6bnobso6u"
"domain18.jazuregrave.fr","_dnsauth.domain18","_qjn690e19hd0zhdhu80qf28u76uwfai"
"domain49.jazuregrave.fr","_dnsauth.domain49","_co257fwvo9uhtdrnb90nc1q9rdafrn7"
"domain71.jazuregrave.fr","_dnsauth.domain71","_zjwec74hl5r9mzzt6c4duwby5g1kpbg"
"domain40.jazuregrave.fr","_dnsauth.domain40","_obkyq9hda48uzt6vpyi17h5hvv1m2a0"
"domain92.jazuregrave.fr","_dnsauth.domain92","_z499zck9fvfbtn0vgziz9q753mo5fsp"
